    1. 遙控無人機操作人在執行任務前及過程中，需確保參與執行的成員不受下列哪種狀況的影響？
(A) 學習決策方案。
(B) 評估決策方案。
(C) 選擇決策方案。
(D) 以上皆是。

    37. 風險管理的目的是為能夠主動辨識與飛航安全有關的危害因子，並透過下列哪個手段降低到可接受之程度？
(A) 迴避。
(B) 減少。
(C) 隔離。
(D) 以上皆是。

    38. 飛行決策的過程中應掌握下列哪個基本原則？
(A) 不接受非相關的風險、將風險設定在合適的層級。
(B) 在獲益超過危害時接受風險。
(C) 將風險管理整合在飛行各階段的計劃過程中。
(D) 以上皆是。

    39. 操作人執行遙控無人機操作時，下列哪種心態干擾會降低飛行決策的品質？
(A) 反威權、衝動及僥倖。
(B) 衝動、僥倖及服從。
(C) 英雄主義及積極順應。
(D) 以上皆是。

    40. 遙控無人機操作人降低風險的方法，包括下列哪種？
(A) 辨識己身風險。
(B) 預知己身風險。
(C) 覺察己身風險。
(D) 以上皆是。

    41. 下列哪個因素與飛航安全密切相關，已成為維修部門及飛航管理部門關切的焦點？
(A) 政治因素。
(B) 人為因素。
(C) 社會因素。
(D) 經濟因素。

    42. 自動決策模式基本上是一種反射性的模式，其形成的重要基礎是下列哪種方式？
(A) 大量的訓練及經驗。
(B) 擴大參與人數。
(C) 正確的政治指導。
(D) 高深的哲學思想。

    43. 自動決策模式常用於下列哪種情況？
(A) 緊急情況。
(B) 無法預作分析的情況。
(C) 無法沙盤推演的情況。
(D) 以上皆是。

    44. 呼吸頻率過快以致血液裡二氧化碳的濃度過低所導致的結果，稱之為下列哪種狀況？
(A) 過度換氣。
(B) 壓力。
(C) 疲勞。
(D) 熱中暑。

    45. 壓力基本上可以分做下列哪兩大類？
(A) 急性及慢性。
(B) 經濟性及社會性。
(C) 個人性及團體性。
(D) 有害性及無害性。

    46. 急性的壓力包括下列哪種狀況，可能觸發抵抗或逃避的反應？
(A) 可能潛在的威脅。
(B) 立即的威脅（如危險、緊急情境）。
(C) 想像的威脅。
(D) 未來的威脅。

    47. 疲勞是一種身心耗弱狀態，乃是長期處在高度壓力之下的下列哪種反應？
(A) 直覺反應。
(B) 生理或心理反應。
(C) 情緒反應。
(D) 鬱悶反應。

    48. 操作人於操作前，可利用下列哪方法的自我檢測方法，來瞭解己身的身心狀態？
(A) IMSAFE。
(B) 簡易ABC。
(C) PAVE。
(D) 以上皆是。

    49. 操作遙控無人機時若發生非預期的緊急情況時，操作人首要的任務為下列哪種作為？
(A) 堅持到底、繼續執行任務。
(B) 暫停執行任務、適當休息。
(C) 應先確保己身及周邊環境及其他人員的安全。
(D) 應先確保遙控無人機的安全。

    50. 若製造商沒有提供起飛前檢查表或操作自製遙控無人機，則遙控無人機操作人應採取下列哪個動作？
(A) 省略起飛前檢查。
(B) 應自行設計檢查表以確保能夠安全操作。
(C) 聯絡製造商提供起飛前檢查表，同時繼續操作。
(D) 借用其他型式的遙控無人機起飛前檢查表。

    51. 遙控無人機操作人在飛航操作環境下，以系統性的評估風險及處理壓力的方法，來達成最適宜的結果，稱之為何種方法？
(A) 腦力激盪。
(B) 人因工程。
(C) 飛行決策。
(D) 以上皆是。

    52. 某種狀況、物體或活動，其可能造成人員傷亡、裝備損壞或降低運作效能，稱之為下列哪種狀況？
(A) 風險。
(B) 危害。
(C) 災難。
(D) 事故。

    53. 危害所可能造成的後果，稱之為下列哪種狀況？
(A) 風險。
(B) 災難。
(C) 意外。
(D) 事故。

    54. 在有限的時間壓力下，未經充分蒐集、分析利弊、僅憑直覺或經驗即執行的過程稱為下列哪種方式？
(A) 工程決斷。
(B) 反射抉擇。
(C) 自動決策。
(D) 兩難情境。

    55. 無人機正在執行任務時，發現天氣明顯變化：能見度變差、相對濕度變高、陣風風速變大，請問操作人應採取下列哪一項動作？
(A) 當機立斷，立即將無人機返場降落，以免危及無人機性能和飛行安全。
(B) 視無人機團隊組員人數而定，如果人數夠多就繼續執行任務，不用擔心天氣影響到無人機性能和飛行安全。
(C) 視無人機機型而定，如果無人機出廠性能優異就繼續執行任務，不必在乎天氣影響到無人機性能和飛行安全。
(D) 以上皆是。

    56. 在作飛行規劃或操作無人機時，操作人手上有多項性能資料，每項都言之成理，但又不盡相同，甚至互相矛盾，操作人應優先使用下列哪一項？
(A) 航空教科書計算得出的性能資料。
(B) 之前操作人提供的經驗及建議。
(C) 無人機製造商提供的性能資料。
(D) 類似系統提供的預估性能資料。

    57. 請問在下列哪一種情況下，操作人可以不必執行無人機起飛前檢查？
(A) 前一次飛行已作過起飛前檢查，如果緊接著執行下一次飛行，就不必執行起飛前檢查。
(B) 當天第一次飛行已作過起飛前檢查，之後當天的所有飛行就都不必執行起飛前檢查。
(C) 每次飛行前都必須執行起飛前檢查，沒有任何情況可以免除。
(D) 視飛行任務而定，如果任務簡單且飛行時間短，操作人判斷起飛前檢查屬多餘，就不必執行起飛前檢查。

    58. 下午3點無人機飛行時天氣愈來愈壞，氣象預報說下午有雷雨，但此時無人機正在執行一項任務，至少需要到下午5點才能結束返場，請問操作人應採取下列哪一項飛行決策？
(A) 在惡劣天氣下飛行，會增加飛航安全的風險，應避免在雷雨期間下執行任務。
(B) 無人機狀況良好，雖然氣象預報說有雷雨，但不一定會發生，就算發生也不一定會碰上，所以可繼續執行任務。
(C) 以前也不是沒碰過雷雨，只要無人機狀況良好、操作人能力優秀，克服天氣因素沒問題，所以可繼續執行任務。
(D) 因為此次任務非常重要，中途放棄會損失許多金錢和時間，所以可繼續執行任務，等碰到雷雨再說。

    59. 無人機已連續飛行一段長時間，操作人全程專心操作，但因前一夜休息不足略顯疲態，操作團隊其他組員感覺該操作人反應變慢、注意力渙散、專注力下降、協調性及溝通性降低等，請問操作團隊應採取下列哪一項動作？
(A) 因為該操作人比較熟悉任務需求，還是由他繼續操作，其他組員多跟他講話，鼓舞精神，硬撐下去。
(B) 詢問該操作人會不會疲累、可否繼續操作；如果不會疲累就繼續操作，如果會疲累再說。
(C) 基於飛航安全的考量，應儘快返場落地；由其他合適的操作人繼續執行任務。
(D) 請該操作人將無人機至於自主飛行模式，然後閉目養神，直到精神恢復再繼續操作。

    60. 無人機準備下午3點以後執行任務，為了避免視線干擾應慎選控制站方位，請問操作人應選擇下列哪一種操作方位？
(A) 操作方位面向西方。
(B) 操作方位面向東方。
(C) 任一種操作方位都可以，不必擔心視線干擾。
(D) 操作方位應面對操作範圍內任何反光物體。

    61. 無人機正在飛行時，操作團隊臨時要求操作人執行原先飛行計畫沒有安排的科目，請問操作人應如何處理？
(A) 對原先飛行計畫沒有安排的科目，應一律拒絕執行。
(B) 既然是操作團隊要求的科目，就應配合執行。
(C) 依科目重要性而定，重要的話就不顧一切去執行，不重要的話就不執行。
(D) 快速評估可行性，包括無人機性能、個人能力及其他限制等，再決定是否執行。

    62. 無人機計畫執行視距內任務，操作人預估有一段路徑無法保持目視無人機，請問操作人應如何處置？
(A) 使用望遠鏡來執行該段路徑無人機飛航。
(B) 只要操作人技術夠好，就不必在意該段路徑。
(C) 只要知道該段路徑沒有障礙、沒有其他無人機，就可以繼續執行任務。
(D) 改變飛行路徑，以保持目視無人機。

    63. 最大起飛重量二公斤以上且裝置導航裝置之遙控無人機於執行任務途中，因天氣變壞、能見度變差，最後導致無人機失控墜毀於空曠無人區域，未造成人員死傷或財物毀損，請問操作人對該無人機墜毀事件應有下列哪一項認知？
(A) 雖然未造成人員死傷或財物毀損，仍應將無人機殘骸撿拾乾淨再回程，而且不要跟任何單位通報，以免造成自己困擾。
(B) 應在墜毀現場檢討失事原因，檢視殘骸狀況，勿破壞現場，通報當地警察局處理。
(C) 無人機因天氣等不可抗力因素而失控墜毀，只要未造成人員死傷或財物毀損，就不必做任何善後處理或通報任何單位。
(D) 事件發生後，無人機所有人或操作人應將事件經過通報民航局。

    64. 無人機團隊正在作任務前簡報，有人聞到操作人身上有明顯的酒味，便提出質疑，操作人表示他剛剛只是喝了一小杯高粱酒，應無大礙，請問無人機團隊對該操作人的說法應有下列哪一項認知？
(A) 法令規定有其容忍值，但基於飛航安全的考量，在未經酒測前，應禁止操作人執行飛航活動。
(B) 應以任務執行為優先，還是讓該操作人從事飛航活動，只要無人機團隊多加留意便是。
(C) 適當的飲酒不但無害且有助視力及反應，所以不必當回事，仍依原計畫讓該操作人從事飛航活動。
(D) 依該操作人的現場狀況而定，如果該操作人看起來還好就讓他從事飛航活動，如果該操作人看起來醉醺醺就禁止他從事飛航活動。

    65. 無人機結束當天任務準備返場，又接到任務指示：「立即至另一指定地點執行下一項任務。」請問操作人對該任務指示應有下列哪一項認知？
(A) 既然尚未返場落地，就接受該任務指示，以滿足任務需求為優先考量。
(B) 既然當天任務已經結束，就不必理會該任務指示，趕緊返場，早點收工休息。
(C) 考量下一項任務的油量需求、人員負荷、空域、天氣及無人機狀況等，如果都沒有安全顧慮，不會對任何人或物造成危險，就接受該任務指示，否則應拒絕該任務指示，先返場整備後再執行下一項任務。
(D) 應依下一項任務的重要性而定，如果下一項任務很重要，就接受該任務指示，否則就拒絕該任務指示。

    66. 無人機在地面檢整，準備從事飛航活動，無人機團隊有人主張：「目視檢查無人機外觀完整，應該就沒問題，符合安全飛航條件，可以從事飛航活動。」請問操作人對該主張應有下列哪一項認知？
(A) 該主張正確，只要外觀完整，就可以從事飛航活動。
(B) 該主張不正確，除了外觀完整，安全飛航條件還包含：機構及動力系統穩固、飛航註冊號碼依規定標示可辨、遙控設備與無人機間之通信及控制鏈路運作正常、燃油或電力之供應符合飛航之需求等。
(C) 如果提出該主張的人經驗豐富，見多識廣，代表該主張正確，否則該主張不正確。
(D) 應依當時現場的天候狀況而定，如果天候狀況適於從事飛航活動，代表該主張正確，否則該主張不正確。

    67. 無人機團隊正在作任務前簡報，氣象預報指出在任務飛行路徑無人機將進入雷雨區，無人機很可能碰到強勁的上升氣流及下降氣流，請問操作人對該氣象預報應有下列哪一項認知？
(A) 無人機在雷雨區飛行是很稀鬆平常的事，不必放在心上。
(B) 無人機先起飛再說，說不定雷雨區沒有氣象預報說的強勁氣流，或者根本沒有雷雨區。
(C) 應依當時任務的重要性而定，如果任務重要就繼續從事飛航活動，否則就取消。
(D) 因為操作區域氣象條件惡劣，應審慎評估從事飛航活動的風險，必要時應建議無人機團隊延期執行任務。

    68. 無人機因操作人操作不當導致失控墜毀於外海，通報民航局備查後，操作人情緒激動，久久不能平復，要求無人機團隊立即讓他操作另一架同型無人機來完成沒有作完的任務，請問無人機團隊對該要求應有下列哪一項認知？
(A) 操作人情緒不穩定，宜暫停從事無人機之飛航活動，所以應拒絕該要求。
(B) 「操作不當」的不良紀錄會導致操作人聲譽受損，讓操作人繼續執行無人機任務有助他扳回面子，所以應同意該要求。
(C) 應視當時的天氣狀況而定，如果天氣好就同意該要求，否則就拒絕該要求。
(D) 應視另一架同型無人機的機務狀況而定，如果機務狀況好就同意該要求，否則就拒絕該要求。

    69. 無人機團隊在作任務前簡報，針對此次任務可能的緊急狀況及其處置，團隊中有人主張到時碰到再看事辦事，隨機應變即可，不用管什麼程序，請問操作人對該主張應有下列哪一項認知？
(A) 無人機操作人的經驗最重要，只要操作人自認有把握，就可以同意該主張。
(B) 應依無人機團隊的共識而定，如果有共識就同意該主張，否則就不同意該主張。
(C) 應依無人機任務的重要性而定，如果任務重要就同意該主張，否則就不同意該主張。
(D) 操作人應完全熟悉並遵守無人機飛行手冊/操作人操作手冊所規定的程序作緊急處置，不可以同意該主張。

    70. 操作人正在作無人機飛行前檢查，發現螺槳上有刮傷刻痕，請問操作人對該刻痕應有下列哪一項認知？
(A) 螺槳上有刮傷刻痕很平常，知道就好，不必大驚小怪。
(B) 螺槳上有刮傷刻痕極為危險，應立即更換螺槳才可以啟動引擎。
(C) 先執行無人機任務要緊，任務完成後再由無人機團隊共同研商該刻痕之對策。
(D) 操作人應針對該刻痕依據廠商手冊或相關資料作風險評估，判斷該刻痕所產生風險的嚴重性及可能性是否可以接受。

    71. 無人機正在機場的南方空域飛行時，航管通知有飛機準備從06跑道進場，要求無人機必須避開進場航線，請問操作人應採取下列哪一項動作？
(A) 避開目前飛行空域的西方和北方。
(B) 避開目前飛行空域的東方和北方。
(C) 避開目前飛行空域的西方和南方。
(D) 避開目前飛行空域的東方和南方。

    72. 無人機在溫暖天氣低空飛行時常會有對流的氣流造成上下起伏的亂流空氣，請問操作人應採取下列哪一項動作來避免這些亂流情形？
(A) 維持穩定速度飛行；視情況爬升高度。
(B) 增加空速，衝過亂流區域。
(C) 展現優異的無人機操作技巧，不必在乎亂流空氣。
(D) 降低飛行高度，消除亂流空氣的影響。

    73. 無人機正在執行任務，操作人發現動力系統警示紅燈會不定時亮起來一段時間，然後又熄滅，且一再重現，請問操作人對該現象應有下列哪一項認知？
(A) 只要無人機還能正常飛行，不必在意該現象，繼續執行任務。
(B) 該現象表示動力系統可能有緊急情況會發生，操作人應立即將無人機返航落地。
(C) 無人機團隊應針對該現象共同研商出一個因應措施，尊重大家的意見，不是操作人或任何其他個人就可以決定。
(D) 應視警示紅燈亮起來的時間長短及頻率而定，如果時間長、頻率高就注意該現象，否則就忽略該現象。

    74. 無人飛機頂風起飛離地後引擎失效，請問操作人對該狀況應有下列哪一項認知？
(A) 立即確立適當的無人飛機飄降姿態，並直線往前或稍微偏離起飛路徑作降落。
(B) 立即以大角度轉彎將無人飛機轉回本場作降落。
(C) 立即反映無人飛機團隊，請大家集思廣益，提出對策。
(D) 立即查閱無人飛機飛行手冊/操作人操作手冊所規定的程序，再作緊急處置。

    75. 無人機正在執行任務，下列狀況幾乎同時發生：GPS信號失效、天氣變壞及圖傳遭受干擾等，請問操作人對該等狀況應有下列哪一項認知？
(A) 應以達成任務為優先考慮，暫時忽略該等狀況。
(B) 對該等狀況無法預作分析及沙盤推演，操作人應憑經驗果斷作成自動決策。
(C) 應與無人機團隊共同研商該等狀況之對策，從容找出最佳方案。
(D) 應仔細查閱無人機飛行手冊/操作人操作手冊所規定的程序，再依其中規定的處置措施逐步執行。

    76. 某無人飛機飄降比為10比1，正在距離機場約2公里、高度1,000英呎執行任務，此時為靜風，引擎忽然故障熄火，請問操作人應採取下列哪一項動作？
(A) 不管無人飛機高度可否提供足夠飄降距離，因為無人機太重要，立即不顧一切執行飄降返場。
(B) 判斷無人飛機高度可提供足夠飄降距離，立即執行飄降返場。
(C) 判斷無人飛機高度無法提供足夠飄降距離，立即執行場外迫降。
(D) 雖然無人飛機高度無法提供足夠飄降距離，因為操作人信心滿滿、技藝超群，仍執行飄降返場。

    77. 無人飛機正在執行任務，操作人發現動力系統警示紅燈亮起，燈號顯示燃油或電量已不足以安全返場落地，飄降距離也顯然太遠，請問操作人對該緊急狀況應有下列哪一項認知？
(A) 盡量堅持下去，往本場飛，能飛多久是多久。
(B) 盡量延伸飄降距離，不必考慮最低空速，最好能到達「理想的」落地區域。
(C) 在操作人仍可繼續操作無人機時，儘快執行「預防性緊急著陸」。
(D) 反正已不可能安全返場落地，放棄任何努力，聽天由命。

    78. A、B兩架無人機在同一區域執行任務，A機操作人接到一通重要電話，於是商請B機操作人暫時同時幫忙操作A機，請問操作人對該要求應有下列哪一項認知？
(A) 拒絕該要求。
(B) 視當時的天氣狀況而定，如果天氣狀況良好就同意該要求，否則就拒絕該要求。
(C) 視該電話的重要性而定，如果該電話真的很重要就同意該要求，否則就拒絕該要求。
(D) 視A機的油量而定，如果油量充足就同意該要求，否則就拒絕該要求。

    79. 無人機團隊受某媒體委託執行空拍任務，執行任務過程中委託單位要求無人機飛出核准區域以取得更好的畫面，無人機團隊其他成員認為該要求合理，應予執行，但是操作人認為該要求有安全疑慮，應予拒絕，請問操作人對此情形應有下列哪一項認知？
(A) 聽從無人機團隊領隊的指示，領隊說執行就執行，到時有問題由領隊負責。
(B) 聽從無人機團隊大多數人的意見，到時有問題大家一起負責。
(C) 無人機於飛航活動期間，操作人對無人機之處置有最後決定權。
(D) 如果委託單位願意負責就執行該要求，否則就拒絕該要求。因為無人機太重要，立即不顧一切執行飄降返場。
(B) 判斷無人飛機高度可提供足夠飄降距離，立即執行飄降返場。
(C) 判斷無人飛機高度無法提供足夠飄降距離，立即執行場外迫降。
(D) 雖然無人飛機高度無法提供足夠飄降距離，因為操作人信心滿滿、技藝超群，仍執行飄降返場。

    77. 無人飛機正在執行任務，操作人發現動力系統警示紅燈亮起，燈號顯示燃油或電量已不足以安全返場落地，飄降距離也顯然太遠，請問操作人對該緊急狀況應有下列哪一項認知？
(A) 盡量堅持下去，往本場飛，能飛多久是多久。
(B) 盡量延伸飄降距離，不必考慮最低空速，最好能到達「理想的」落地區域。
(C) 在操作人仍可繼續操作無人機時，儘快執行「預防性緊急著陸」。
(D) 反正已不可能安全返場落地，放棄任何努力，聽天由命。

    78. A、B兩架無人機在同一區域執行任務，A機操作人接到一通重要電話，於是商請B機操作人暫時同時幫忙操作A機，請問操作人對該要求應有下列哪一項認知？
(A) 拒絕該要求。
(B) 視當時的天氣狀況而定，如果天氣狀況良好就同意該要求，否則就拒絕該要求。
(C) 視該電話的重要性而定，如果該電話真的很重要就同意該要求，否則就拒絕該要求。
(D) 視A機的油量而定，如果油量充足就同意該要求，否則就拒絕該要求。

    79. 無人機團隊受某媒體委託執行空拍任務，執行任務過程中委託單位要求無人機飛出核准區域以取得更好的畫面，無人機團隊其他成員認為該要求合理，應予執行，但是操作人認為該要求有安全疑慮，應予拒絕，請問操作人對此情形應有下列哪一項認知？
(A) 聽從無人機團隊領隊的指示，領隊說執行就執行，到時有問題由領隊負責。
(B) 聽從無人機團隊大多數人的意見，到時有問題大家一起負責。
(C) 無人機於飛航活動期間，操作人對無人機之處置有最後決定權。
(D) 如果委託單位願意負責就執行該要求，否則就拒絕該要求。
